"gene","inheritance"
"POU1F1","AD"
"PROS1","AD"
"ARL13B","AR"
"","AD"
"6,00 ARL","AR"
"CPOX","AD"
"TBC1D23","AR"
"TFG","AD"
"IMPG2","AD"
"TRMT10C","AR"
"ZBTB11","AR"
"IFT57","AR"
"","AD"
"CD96","AD"
"NEPRO","AR"
"CFAP44","AR"
"","AD"
"ATP6V1A","AD"
"DRD3","AD"
"ZBTB20","AD"
"ARHGAP31","AD"
"POGLUT1","AD"
"TIMMDC1","AR"
"CFAP91","AR"
"HGD","AR"
"RABL3","AD"
"IQCB1","AR"
"ILDR1","AR"
"CASR","AD"
"CSTA","AR"
"ADCY5","AD"
"MYLK","AD"
"UMPS","AR"
"ZNF148","AD"
"","AD"
"","AD"
"","AD"
"UROC1","AR"
"MCM2","AD"
"SEC61A1","AD"
"GATA2","AD"
"RAB7A","AD"
"ACAD9","AR"
"GP9","AR"
"CNBP","AD"
"IFT122","AR"
"RHO","AD"
"TRH","AR"
"ATP2C1","AD"
"MRPL3","AR"
"UBA5","AR"
"NPHP3","AR"
"BFSP2","AD"
"TF","AR"
"SLCO2A1","AD"
"CEP63","AR"
"KY","AR"
"","AD"
"","AD"
"","AR"
"PCCB","AR"
"STAG1","AD"
"DZIP1L","AR"
"DBR1","AR"
"MRAS","AD"
"FOXL2","AD"
"MRPS22","AR"
"COPB2","AR"
"ATR","AD"
"PLS1","AD"
"PLOD2","AR"
"ZIC1","AD"
"AGTR1","AR"
"GYG1","AR"
"HPS3","AR"
"CP","AR"
"RNF13","AD"
"CLRN1","AR"
"MED12L","AD"
"P2RY12","AR"
"MME","AD"
"SLC33A1","AD"
"RSRC1","AR"
"GFM1","AR"
"","AD"
"IFT80","AR"
"SI","AR"
"BCHE","AR"
"PDCD10","AD"
"SERPINI1","AD"
"","AR"
"MECOM","AD"
"TERC","AD"
"CLDN11","AD"
"SLC7A14","AR"
"SLC2A2","AD"
"TNIK","AR"
"PLD1","AR"
"GHSR","AD"
"SPATA16","AR"
"NLGN1","AD"
"TBL1XR1","AD"
"","AD"
"","AR"
"GNB4","AD"
"CCDC39","AR"
"FXR1","AR"
"DNAJC19","AR"
"SOX2","AD"
"MCCC1","AR"
"KLHL24","AD"
"YEATS2","AD"
"EIF2B5","AR"
"DVL3","AD"
"AP2M1","AD"
"ALG3","AR"
"EIF4G1","AD"
"CLCN2","AD"
"THPO","AD"
"EHHADH","AD"
"LIPH","AR"
"IGF2BP2","AD"
"","AD"
"","AR"
"CRYGS","AD"
"DNAJB11","AD"
"AHSG","AR"
"HRG","AD"
"KNG1","AD"
"MASP1","AR"
"LPP","AD"
"TP63","AD"
"P3H2","AR"
"CLDN16","AR"
"CLDN1","AR"
"CCDC50","AD"
"FGF12","AD"
"","AD"
"OPA1","AD"
"TFRC","AR"
"SLC51A","AR"
"PCYT1A","AR"
"DYNLT2B","AR"
"RNF168","AR"
"NRROS","AR"
"CEP19","AR"
"RUBCN","AR"
"RPL35A","AD"
"","AR"
"ZNF141","AR"
"PIGG","AR"
"PDE6B","AD"
"CPLX1","AR"
"SLC26A1","AR"
"IDUA","AR"
"CTBP1","AD"
"UVSSA","AR"
"FGFR3","AD"
"NAT8L","AR"
"SH3BP2","AD"
"HTT","AD"
"DOK7","AR"
"LRPAP1","AR"
"MSX1","AD"
"EVC2","AD"
"EVC","AD"
"","AD"
"","AD"
"","AD"
"WFS1","AD"
"HMX1","AR"
"SLC2A9","AD"
"DRD5","AD"
"WDR1","AR"
"RAB28","AR"
"NKX3-2","AR"
"CC2D2A","AR"
"PROM1","AD"
"TAPT1","AR"
"QDPR","AR"
"CLRN2","AR"
"","AR"
"SEPSECS","AR"
"SLC34A2","AR"
"RBPJ","AD"
"WDR19","AR"
"RFC1","AR"
"LIAS","AR"
"UGDH","AR"
"RHOH","AR"
"UCHL1","AD"
"PHOX2B","AD"
"SLC30A9","AR"
"GRXCR1","AR"
"GUF1","AR"
"GABRA2","AD"
"GABRB1","AD"
"","AR"
"","AR"
"","AD"
"SGCB","AR"
"CHIC2","AD"
"GSX2","AR"
"KIT","AD"
"KDR","AD"
"SRD5A3","AR"
"TMEM165","AR"
"CEP135","AR"
"SRP72","AD"
"SPINK2","AR"
"REST","AD"
"IGFBP7","AR"
"TECRL","AR"
"","AD"
"GNRHR","AR"
"MUC7","AD"
"AMTN","AD"
"AMBN","AR"
"ENAM","AD"
"SLC4A4","AR"
"ADAMTS3","AR"
"ANKRD17","AD"
"ALB","AD"
"AFP","AD"
"ODAPH","AR"
"SCARB2","AR"
"FRAS1","AR"
"ANTXR2","AR"
"PRDM8","AR"
"FGF5","AR"
"HNRNPDL","AD"
"SCD5","AD"
"SEC31A","AR"
"COQ2","AD"
"WDFY3","AD"
"","AD"
"DSPP","AD"
"DMP1","AR"
"PKD2","AD"
"ABCG2","AD"
"PIGY","AR"
"SNCA","AD"
"GRID2","AR"
"SMARCAD1","AD"
"BMPR1B","AD"
"ADH1C","AD"
"TRMT10A","AR"
"MTTP","AD"
"","AD"
"","AR"
"PPP3CA","AD"
"SLC39A8","AR"
"NFKB1","AD"
"MANBA","AR"
"CISD2","AR"
"CENPE","AR"
"TACR3","AR"
"TET2","AR"
"PPA2","AR"
"TBCK","AR"
"AIMP1","AR"
"SGMS2","AD"
"CYP2U1","AR"
"HADH","AR"
"COL25A1","AR"
"CFI","AD"
"LRIT3","AR"
"EGF","AR"
"PITX2","AD"
"ALPK1","AD"
"LARP7","AR"
"ANK2","AD"
"PRSS12","AR"
"SEC24D","AR"
"MYOZ2","AD"
"","AR"
"PRDM5","AR"
"NDNF","AD"
"ANXA5","AD"
"EXOSC9","AR"
"BBS7","AR"
"TRPC3","AD"
"KIAA1109","AR"
"IL21","AR"
"BBS12","AR"
"SPATA5","AR"
"FAT4","AR"
"INTU","AR"
"PLK4","AR"
"MFSD8","AR"
"NAA15","AD"
"RAB33B","AR"
"GAB1","AR"
"MMAA","AR"
"SLC10A7","AR"
"TTC29","AR"
"EDNRA","AD"
"NR3C2","AD"
"LRBA","AR"
"MAB21L2","AD"
"GATB","AR"
